X,aY,aZ,gX,gY,gZ
-1.230,-0.859,3.875,111.389,-518.005,0.366
-0.949,-0.176,3.677,48.584,-309.021,33.813
-0.382,0.157,3.073,15.320,-127.625,28.687
-0.149,-0.036,2.348,0.244,-15.015,-8.484
-0.095,-0.424,1.804,-26.855,37.415,-45.105
-0.072,-0.770,1.484,-52.246,44.006,-61.157
-0.039,-0.868,1.435,-58.105,15.198,-49.500
-0.014,-0.761,1.603,-48.523,-20.020,-22.461
0.035,-0.541,1.810,-32.471,-34.912,-0.732
0.095,-0.314,1.868,-10.132,-25.574,12.207
0.134,-0.189,1.733,9.705,-0.854,15.747
0.203,-0.180,1.516,19.714,27.832,12.939
0.229,-0.151,1.324,16.968,51.025,10.620
0.225,-0.142,1.160,10.437,66.589,10.071
0.249,-0.178,0.987,2.441,79.773,9.460
0.306,-0.168,0.836,-8.118,87.524,9.338
0.336,-0.172,0.782,-17.639,82.703,7.751
0.274,-0.147,0.843,-23.743,68.542,4.944
0.250,-0.137,0.940,-23.743,58.350,5.859
0.288,-0.113,0.984,-21.484,59.570,8.850
0.350,-0.029,0.932,-17.151,63.599,9.766
0.331,-0.004,0.950,-12.451,58.350,7.141
0.338,-0.008,1.057,-11.475,51.514,0.732
0.314,-0.012,1.178,-7.202,47.363,-5.554
0.256,-0.065,1.279,-1.343,49.194,-13.123
0.214,-0.198,1.321,-0.977,63.293,-21.423
0.185,-0.294,1.342,-8.423,85.144,-27.161
0.135,-0.345,1.351,-14.954,104.858,-26.917
0.118,-0.366,1.342,-17.273,124.512,-21.790
0.115,-0.371,1.331,-20.813,147.217,-15.076
0.139,-0.269,1.297,-27.527,171.631,-3.784
0.228,-0.180,1.203,-30.212,192.505,5.676
0.316,-0.133,1.122,-32.532,203.674,7.935
0.337,-0.072,1.096,-45.593,208.008,4.822
0.355,-0.042,1.095,-62.866,214.478,0.427
0.359,-0.062,1.120,-80.688,225.403,-5.005
0.362,-0.065,1.123,-94.055,239.075,-11.292
0.381,-0.145,1.059,-95.520,254.517,-23.621
0.369,-0.231,0.979,-87.219,268.127,-35.828
0.347,-0.288,0.902,-74.036,279.602,-42.175
0.358,-0.305,0.825,-51.697,282.959,-38.208
0.348,-0.343,0.653,-18.433,279.541,-19.165
0.353,-0.309,0.443,10.559,274.292,11.047
0.392,-0.248,0.234,21.790,273.254,35.889
0.492,-0.198,0.044,21.973,272.888,51.208
0.578,-0.152,-0.093,17.517,265.930,58.838
0.590,-0.109,-0.181,13.611,250.549,58.167
0.593,-0.087,-0.251,14.282,229.858,54.443
0.583,-0.105,-0.309,16.724,208.496,52.490
0.659,-0.131,-0.351,7.507,194.275,51.819
0.676,-0.078,-0.334,-10.559,183.411,49.316

-0.306,-0.745,1.649,122.559,-449.280,-25.940
-0.130,-0.084,1.951,93.567,-391.724,19.104
0.118,0.427,2.097,77.332,-327.087,32.959
0.274,0.584,2.088,62.683,-261.169,8.362
0.261,0.152,1.977,48.218,-201.477,-44.739
0.161,-0.347,1.835,27.710,-152.405,-89.417
0.068,-0.730,1.759,6.775,-115.662,-103.088
0.057,-0.869,1.751,-1.892,-93.201,-82.581
0.094,-0.804,1.738,0.977,-79.163,-45.532
0.191,-0.701,1.691,7.568,-66.711,-14.099
0.254,-0.529,1.690,6.226,-52.429,4.028
0.321,-0.387,1.685,5.432,-37.415,13.550
0.370,-0.218,1.681,3.845,-19.775,16.541
0.420,-0.127,1.640,6.348,-0.366,12.634
0.401,-0.119,1.540,9.094,20.264,3.479
0.388,-0.182,1.337,11.169,43.396,-5.066
0.395,-0.267,1.086,9.827,64.697,-9.766
0.424,-0.336,0.876,4.578,74.707,-10.254
0.450,-0.350,0.782,-1.526,70.068,-6.165
0.449,-0.288,0.823,-7.202,54.443,0.305
0.445,-0.224,0.903,-7.080,40.100,6.409
0.447,-0.172,0.978,-5.615,35.828,8.545
0.449,-0.144,1.015,-4.944,39.856,7.446
0.443,-0.112,1.005,-5.005,48.645,4.456
0.433,-0.124,0.975,-6.165,58.960,0.244
0.412,-0.217,0.894,-7.507,69.885,-6.470
0.405,-0.296,0.826,-15.381,78.796,-10.498
0.409,-0.297,0.845,-27.466,83.252,-11.414
0.404,-0.285,0.882,-35.400,83.130,-9.338
0.410,-0.294,0.919,-41.016,82.703,-5.005
0.406,-0.278,0.974,-47.302,85.754,-2.197
0.389,-0.286,0.995,-49.988,92.529,1.648
0.460,-0.294,1.000,-51.025,101.501,7.324
0.461,-0.290,1.020,-55.420,113.098,6.958
0.417,-0.258,0.997,-63.721,131.958,2.075
0.375,-0.164,0.942,-73.242,151.367,1.770
0.426,-0.032,0.909,-78.064,167.969,9.094
0.599,0.100,0.927,-71.838,178.650,16.357
0.674,0.018,0.769,-56.152,180.603,15.015
0.651,-0.117,0.578,-52.917,179.565,4.578
0.652,-0.208,0.484,-67.139,177.673,-4.028
0.674,-0.175,0.527,-83.130,167.480,-6.714
0.646,-0.088,0.635,-88.928,148.926,-5.920
0.646,-0.141,0.679,-80.566,134.949,-4.517
