aX,aY,aZ,gX,gY,gZ
0.243,1.034,0.294,-40.161,-7.507,-68.054
0.264,1.065,0.297,-39.978,-4.761,-70.068
0.276,1.096,0.280,-40.466,-1.648,-73.303
0.271,1.117,0.257,-42.419,0.916,-77.454
0.268,1.133,0.224,-45.776,2.747,-81.116
0.270,1.156,0.187,-50.110,3.967,-83.435
0.279,1.187,0.161,-54.749,3.906,-85.266
0.296,1.217,0.146,-59.265,2.625,-87.952
0.303,1.232,0.143,-62.805,0.671,-92.407
0.321,1.266,0.145,-65.247,-1.221,-98.511
0.344,1.300,0.147,-67.383,-1.892,-106.018
0.351,1.316,0.130,-68.542,-1.404,-116.211
0.346,1.315,0.113,-69.763,-1.892,-127.563
0.340,1.305,0.122,-72.998,-2.808,-139.221
0.351,1.304,0.133,-76.355,-2.991,-150.513
0.343,1.289,0.132,-77.942,-2.808,-162.354
0.332,1.260,0.135,-79.956,-2.991,-174.255
0.332,1.239,0.151,-81.970,-3.723,-184.570
0.332,1.226,0.160,-82.703,-4.639,-195.251
0.320,1.216,0.143,-83.313,-5.371,-205.688
0.292,1.186,0.108,-85.144,-5.676,-214.661
0.286,1.151,0.089,-88.928,-8.545,-221.985
0.289,1.092,0.078,-92.834,-14.038,-229.248
0.281,1.002,0.100,-96.313,-21.057,-236.755
0.281,0.891,0.149,-99.182,-28.137,-243.469
0.285,0.781,0.189,-98.022,-33.752,-248.901
0.296,0.665,0.221,-92.834,-37.048,-254.089
0.304,0.569,0.245,-85.510,-39.185,-259.399
0.326,0.450,0.239,-75.134,-40.588,-264.709
0.338,0.304,0.229,-63.782,-42.419,-268.860
0.367,0.143,0.219,-55.237,-45.166,-271.423
0.407,-0.023,0.229,-49.194,-47.546,-271.423
0.432,-0.191,0.250,-45.105,-48.279,-268.005
0.481,-0.370,0.219,-43.701,-45.166,-258.240
0.509,-0.517,0.179,-45.593,-36.743,-239.685

-0.198,1.986,0.405,138.367,56.335,289.734
-0.147,2.080,0.384,144.409,58.716,251.282
-0.113,2.141,0.313,146.790,62.500,215.332
-0.096,2.196,0.220,143.677,67.505,184.387
-0.081,2.267,0.109,134.521,70.557,160.095
-0.035,2.344,-0.001,119.202,69.641,140.198
0.031,2.382,-0.056,100.525,62.927,121.704
0.071,2.392,-0.055,83.435,50.842,102.661
0.077,2.307,-0.137,68.359,36.987,86.426
0.164,2.255,-0.132,49.133,35.095,69.092
0.218,2.209,-0.106,34.546,32.776,47.974
0.232,2.149,-0.089,27.527,28.931,21.973
0.216,2.059,-0.102,26.306,23.865,-3.296
0.199,1.962,-0.126,25.513,15.991,-23.865
0.179,1.862,-0.136,19.104,7.019,-39.917
0.164,1.760,-0.121,7.751,1.099,-52.429
0.160,1.672,-0.090,-5.493,-1.404,-63.049
0.160,1.581,-0.055,-18.372,-2.991,-72.632
0.162,1.496,-0.021,-28.564,-4.883,-81.238
0.171,1.407,0.006,-35.034,-8.850,-89.233
0.166,1.315,0.028,-39.673,-14.160,-96.436
0.177,1.220,0.076,-43.701,-18.921,-101.624
0.184,1.133,0.103,-47.058,-22.522,-105.103
0.192,1.049,0.154,-51.086,-24.597,-106.567
0.210,0.964,0.192,-53.528,-25.574,-105.286
0.230,0.896,0.223,-54.688,-25.757,-102.356
0.252,0.861,0.250,-55.298,-23.376,-97.961
0.270,0.838,0.249,-54.810,-19.775,-93.445
0.283,0.845,0.246,-53.955,-16.296,-88.623
0.302,0.868,0.243,-52.734,-13.306,-84.167
0.316,0.915,0.235,-51.453,-10.925,-80.566
0.329,0.967,0.196,-50.110,-7.874,-77.881
0.350,1.011,0.156,-50.354,-5.554,-76.294
0.355,1.058,0.134,-52.612,-4.822,-76.294
0.387,1.087,0.145,-56.335,-4.944,-77.820
0.405,1.126,0.148,-58.716,-4.028,-81.421
0.409,1.169,0.141,-59.753,-1.465,-87.402
0.406,1.218,0.109,-60.913,1.587,-94.666
0.407,1.271,0.057,-62.561,4.517,-102.661
0.400,1.312,0.028,-64.453,4.395,-112.549
0.408,1.336,0.016,-64.514,0.671,-124.573
0.410,1.337,0.015,-61.462,-5.127,-139.587
0.401,1.304,0.012,-55.725,-12.512,-157.837
0.382,1.257,0.014,-49.683,-19.836,-177.002
0.363,1.193,0.035,-46.509,-24.902,-194.458
0.343,1.119,0.054,-47.607,-27.832,-208.496
0.326,1.048,0.073,-51.270,-28.625,-218.445
0.318,0.989,0.095,-56.702,-28.442,-225.342
0.317,0.927,0.130,-63.171,-28.259,-231.140
0.319,0.865,0.158,-67.688,-28.381,-237.000
0.320,0.802,0.180,-69.641,-27.893,-243.225
0.324,0.747,0.204,-70.618,-27.466,-250.305
0.320,0.678,0.207,-70.435,-26.123,-257.507
0.303,0.586,0.198,-68.970,-24.597,-264.343
0.288,0.483,0.171,-67.871,-24.109,-269.409
0.292,0.399,0.148,-68.420,-24.353,-271.362
0.298,0.274,0.141,-70.435,-25.452,-271.057
0.323,0.186,0.116,-72.205,-27.588,-268.311
0.344,0.059,0.093,-72.693,-30.151,-263.550
0.373,-0.083,0.058,-75.256,-34.424,-255.859

-0.369,1.829,0.590,122.925,84.961,371.948
-0.264,2.095,0.531,129.333,92.407,345.642
-0.178,2.301,0.417,137.512,98.145,310.303
-0.118,2.414,0.233,143.066,100.220,269.836
-0.042,2.449,0.101,140.991,96.863,230.042
0.030,2.411,0.017,135.681,86.975,193.054
0.091,2.311,-0.025,129.822,74.829,160.767
0.125,2.176,-0.050,122.559,63.904,134.094
0.149,2.056,-0.065,115.234,54.871,115.051
0.233,2.035,-0.030,106.323,46.692,102.600
0.102,1.918,-0.122,97.595,35.034,97.839
