aX,aY,aZ,gX,gY,gZ
0.211,-1.033,0.207,59.082,12.878,169.617
0.209,-1.017,0.170,55.359,13.062,177.246
0.225,-1.012,0.147,48.645,12.939,186.401
0.239,-0.989,0.142,41.199,11.475,196.289
0.253,-0.958,0.155,34.790,9.705,206.299
0.274,-0.905,0.163,30.334,10.986,215.942
0.300,-0.844,0.139,26.794,14.038,222.412
0.314,-0.771,0.124,22.522,17.578,226.257
0.334,-0.727,0.110,18.738,22.461,227.356
0.349,-0.698,0.106,15.564,24.536,226.318
0.370,-0.685,0.121,16.235,25.452,225.037
0.388,-0.668,0.115,20.325,25.574,223.022
0.405,-0.640,0.074,26.794,25.818,222.412
0.411,-0.606,0.057,31.372,25.757,223.511
0.419,-0.557,0.041,32.410,24.414,226.196
0.446,-0.496,0.027,31.921,24.536,230.103
0.480,-0.395,0.019,31.067,24.536,234.497
0.501,-0.259,-0.005,32.288,26.184,240.173
0.520,-0.096,-0.055,31.860,27.649,247.253
0.546,0.069,-0.097,26.123,27.283,253.357
0.592,0.265,-0.134,15.137,26.062,257.263
0.641,0.456,-0.121,1.709,20.508,253.418
0.686,0.609,-0.124,-9.399,13.062,238.220
0.766,0.709,-0.114,-16.296,7.141,213.928

0.003,1.866,-0.497,-230.103,-20.935,-122.803
-0.233,1.767,-0.453,-251.099,-42.175,-177.185
-0.456,1.551,-0.364,-253.967,-65.002,-242.493
-0.667,1.295,-0.307,-232.544,-87.097,-310.730
-0.842,1.100,-0.307,-192.139,-108.276,-373.840
-0.989,0.872,-0.352,-147.339,-130.615,-426.270
-1.102,0.640,-0.351,-110.291,-154.724,-466.248
-1.200,0.414,-0.264,-82.947,-177.063,-492.981
-1.282,0.158,-0.076,-59.082,-198.853,-511.780
-1.332,-0.195,0.285,-39.612,-217.834,-527.649
-1.395,-0.613,0.695,-26.672,-225.159,-539.062
-1.427,-1.153,0.959,-22.888,-217.896,-535.400
-1.443,-1.746,1.105,-43.518,-202.393,-506.897
-1.456,-2.394,1.480,-90.149,-184.143,-457.642
-1.465,-3.088,2.154,-137.207,-163.696,-397.156
-1.312,-3.591,2.621,-152.649,-133.545,-327.637
-1.038,-3.796,2.650,-130.676,-90.088,-257.019
-0.835,-3.816,2.369,-86.426,-46.265,-200.195
-0.687,-3.695,1.960,-43.091,-17.822,-157.532
-0.525,-3.503,1.559,-12.268,-7.935,-119.873
-0.345,-3.258,1.234,4.150,-10.681,-80.994
-0.135,-2.932,0.963,7.935,-14.832,-38.574
0.088,-2.551,0.706,5.188,-11.353,3.906
0.264,-2.209,0.456,-0.244,-1.343,39.612
0.411,-1.892,0.259,-5.554,9.521,65.002
0.511,-1.649,0.142,-6.592,14.709,79.285
0.573,-1.470,0.094,-1.953,11.902,83.008
0.624,-1.339,0.117,5.920,4.578,79.956
0.650,-1.249,0.202,15.869,-3.113,71.838
0.654,-1.202,0.300,26.978,-9.949,61.096
0.610,-1.214,0.409,36.011,-13.611,51.697
0.531,-1.241,0.530,41.504,-12.939,46.204
0.452,-1.285,0.631,45.410,-8.667,45.959
0.364,-1.321,0.722,48.340,-2.441,48.401
0.286,-1.341,0.783,50.293,5.005,53.284
0.229,-1.354,0.800,52.734,13.550,59.387
0.185,-1.335,0.771,54.932,22.583,66.833
0.133,-1.315,0.708,57.312,31.616,74.463
0.096,-1.291,0.646,58.960,37.720,81.604
0.069,-1.262,0.581,61.523,41.443,88.257
